Title,User Rating %,Genres,Cast
Deadpool & Wolverine,78,"['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds, as Wade Wilson / Deadpool / Nicepool', 'Hugh Jackman, as Logan / Wolverine', 'Emma Corrin, as Cassandra Nova', 'Matthew Macfadyen, as Mr. Paradox', 'Dafne Keen, as Laura / X-23', 'Jon Favreau, as Happy Hogan', 'Morena Baccarin, as Vanessa', 'Rob Delaney, as Peter', 'Leslie Uggams, as Blind Al']"
Twisters,71,"['Action', 'Adventure', 'Drama', 'Thriller']","['Daisy Edgar-Jones, as Kate', 'Glen Powell, as Tyler', 'Anthony Ramos, as Javi', 'Brandon Perea, as Boone', 'Maura Tierney, as Cathy', 'Harry Hadden-Paton, as Ben', 'Sasha Lane, as Lily', 'Daryl McCormack, as Jeb', 'Kiernan Shipka, as Addy']"
Despicable Me 4,73,"['Animation', 'Family', 'Comedy', 'Action']","['Steve Carell, as Gru (voice)', 'Kristen Wiig, as Lucy (voice)', 'Will Ferrell, as Maxime (voice)', 'Sofía Vergara, as Valentina (voice)', 'Miranda Cosgrove, as Margo (voice)', 'Dana Gaier, as Edith (voice)', 'Madison Polan, as Agnes (voice)', 'Pierre Coffin, as Minions (voice)', 'Chris Renaud, as Principal Übelschlecht (voice)']"
Inside Out 2,76,"['Animation', 'Family', 'Adventure', 'Comedy']","['Amy Poehler, as Joy (voice)', 'Maya Hawke, as Anxiety (voice)', 'Kensington Tallman, as Riley (voice)', 'Liza Lapira, as Disgust (voice)', 'Phyllis Smith, as Sadness (voice)', 'Lewis Black, as Anger (voice)', 'Tony Hale, as Fear (voice)', 'Ayo Edebiri, as Envy (voice)', 'Adèle Exarchopoulos, as Ennui (voice)']"
Bad Boys: Ride or Die,76,"['Action', 'Crime', 'Thriller', 'Comedy']","['Will Smith, as Mike Lowrey', 'Martin Lawrence, as Marcus Burnett', 'Vanessa Hudgens, as Kelly', 'Alexander Ludwig, as Dorn', 'Paola Nuñez, as Rita', 'Eric Dane, as McGrath', 'Ioan Gruffudd, as Lockwood', 'Jacob Scipio, as Armando', 'Melanie Liburd, as Christine']"
Kill,70,"['Action', 'Crime']","['Lakshya Lalwani, as Amrit', 'Raghav Juyal, as Fani', 'Tanya Maniktala, as Tulika', 'Abhishek Chauhan, as Viresh', 'Ashish Vidhyarthi, as Beni', 'Adrija Sinha, as Aahana', 'Harsh Chhaya, as Baldev Singh Thakur', 'Parth Tiwari, as Siddhi', 'Akshay Vichare, as Ujala']"
A Quiet Place: Day One,69,"['Horror', 'Science Fiction', 'Thriller']","[""Lupita Nyong'o, as Samira"", 'Joseph Quinn, as Eric', 'Alex Wolff, as Reuben', 'Djimon Hounsou, as Henri', 'Eliane Umuhire, as Zena', 'Takunda Khumalo, as Osahar', 'Alfie Todd, as Max', 'Avy-Berry Worrall, as Young Sister', 'Ronnie Le Drew, as Marvin Monroe']"
Mayhem!,67,"['Action', 'Crime', 'Drama']","['Nassim Lyes, as Sam', 'Loryn Nounay, as Mia', 'Olivier Gourmet, as Narong', 'Vithaya Pansringarm, as Hansa', 'Mehdi Hadim,', 'Kenneth Won, as Civil Servant', 'Sahajak Boonthanakit,', 'Chananticha Chaipa, as Dara', 'Boonsong Nakphoo,']"
Alien: Romulus,74,"['Horror', 'Science Fiction']","['Cailee Spaeny, as Rain', 'David Jonsson, as Andy', 'Archie Renaux, as Tyler', 'Isabela Merced, as Kay', 'Spike Fearn, as Bjorn', 'Aileen Wu, as Navarro', 'Rosie Ede, as WY Officer', 'Soma Simon, as 10-Year-Old Punk #1', 'Bence Okeke, as 10-Year-Old Punk #2']"
It Ends with Us,70,"['Drama', 'Romance']","['Blake Lively, as Lily Bloom', 'Justin Baldoni, as Ryle Kincaid', 'Brandon Sklenar, as Atlas Corrigan', 'Jenny Slate, as Allysa', 'Hasan Minhaj, as Marshall', 'Amy Morton, as Jenny Bloom', 'Kevin McKidd, as Andrew Bloom', 'Isabela Ferrer, as Young Lily Bloom', 'Alex Neustaedter, as Young Atlas Corrigan']"
