Title,User Rating %,Genres,Cast
Atlas,68,"['Science Fiction', 'Action']","['Jennifer Lopez, as Atlas Shepherd', 'Simu Liu, as Harlan Shepherd', 'Sterling K. Brown, as Colonel Elias Banks', 'Gregory James Cohan, as Smith (voice) / Dhiib Pilot', 'Abraham Popoola, as Casca Decius', 'Lana Parrilla, as Val Shepherd', 'Mark Strong, as General Jake Boothe', 'Briella Guiza, as Young Atlas Shepherd', 'Adia Smith-Eriksson, as Ranger West']"
Zandalee,43,"['Drama', 'Romance', 'Thriller']","['Nicolas Cage, as Johnny Collins', 'Erika Anderson, as Zandalee Martin', 'Judge Reinhold, as Thierry Martin', 'Joe Pantoliano, as Gerri', 'Viveca Lindfors, as Tatta', 'Steve Buscemi, as OPP Man', 'Marisa Tomei, as Remy', 'Aaron Neville, as Jack', 'Ian Abercrombie, as Louis Medina']"
V de Víctor,80,['Comedy'],"['Memo Villegas, as Víctor', 'Camila Nuñez, as Luna', 'Gala Bichir, as Gloria', 'Adriana Montes de Oca, as Cecilia', ""Jonathan Alonso, as 'El Toro' Martínez"", 'Joaquín Cosío, as Jorge', 'Norma Angélica, as Marisol', 'Danna García, as Mónica', 'Paco Rueda, as Nacho']"
Aliens,79,"['Action', 'Thriller', 'Science Fiction']","['Sigourney Weaver, as Ripley', 'Carrie Henn, as Newt', 'Michael Biehn, as Corporal Hicks', 'Paul Reiser, as Burke', 'Lance Henriksen, as Bishop', 'Bill Paxton, as Private Hudson', 'William Hope, as Lieutenant Gorman', 'Jenette Goldstein, as Private Vasquez', 'Al Matthews, as Sergeant Apone']"
The Hunt,81,['Drama'],"['Mads Mikkelsen, as Lucas', 'Thomas Bo Larsen, as Theo', 'Annika Wedderkopp, as Klara', 'Lasse Fogelstrøm, as Marcus', 'Susse Wold, as Grethe', 'Anne Louise Hassing, as Agnes', 'Lars Ranthe, as Bruun', 'Alexandra Rapaport, as Nadja', 'Sebastian Bull Sarning, as Torsten']"
Dead Sea,70,"['Thriller', 'Horror']","['Isabel Gravitt, as Kaya Adams', 'Alexander Wraith, as Rey', 'Dean Cameron, as Curtis Hunt', 'Garrett Wareing, as Julian', 'Genneya Walton, as Tessa Miles', 'Koa Tom, as Xander', 'Brian Silverman, as Russell Adams', 'Al Burke, as Sgt. Burke', 'Phoenix Volken, as Kit Adams']"
No Way Up,64,"['Thriller', 'Horror', 'Action']","['Colm Meaney, as Brandon', 'Phyllis Logan, as Mardy', 'Sophie McIntosh, as Ava', 'Will Attenborough, as Kyle', 'Jeremias Amoore, as Jed', 'Manuel Pacific, as Danilo', 'Grace Nettle, as Rosa', 'James Carroll Jordan, as Hank', 'David J Biscoe, as Plane Passenger']"
Dune: Part Two,82,"['Science Fiction', 'Adventure']","['Timothée Chalamet, as Paul Atreides', 'Zendaya, as Chani', 'Rebecca Ferguson, as Jessica', 'Javier Bardem, as Stilgar', 'Josh Brolin, as Gurney Halleck', 'Austin Butler, as Feyd-Rautha', 'Florence Pugh, as Princess Irulan', 'Dave Bautista, as Beast Rabban', 'Christopher Walken, as Emperor']"
Monkey Man,70,"['Action', 'Thriller']","['Dev Patel, as Kid', 'Sikandar Kher, as Rana', 'Pitobash, as Alphonso', 'Adithi Kalkunte, as Neela', 'Jatin Malik, as Young Kid', 'Makrand Deshpande, as Baba Shakti', 'Ashwini Kalsekar, as Queenie', 'Vipin Sharma, as Alpha', 'Sobhita Dhulipala, as Sita']"
"Run, Tiger Run!",76,"['Animation', 'Adventure', 'Comedy', 'Action', 'Family']","['Nianci Shen, as Hudun', 'Dawei Liang, as Master Yang (voice)', 'Liang Zou, as Da Dangjia', 'Jianru Zhang, as Black Bones', 'Lü Qi, as Hudun', 'Qimin Cao, as Extra', 'Shi Chen, as Da Zhuangzi', 'Sheng Dian, as Bandit Minions 1 / Side Kick', 'Sheng Dian, as Flying Soldier 3 / Flying Soldier 5']"
Wish,64,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Ariana DeBose, as Asha (voice)', 'Chris Pine, as King Magnifico (voice)', 'Alan Tudyk, as Valentino (voice)', 'Angelique Cabral, as Queen Amaya (voice)', 'Victor Garber, as Sabino (voice)', 'Natasha Rothwell, as Sakina (voice)', 'Jennifer Kumiyama, as Dahlia (voice)', 'Harvey Guillén, as Gabo (voice)', 'Niko Vargas, as Hal (voice)']"
The Watchers,65,"['Horror', 'Fantasy', 'Mystery', 'Thriller']","['Dakota Fanning, as Mina / Lucy', 'Georgina Campbell, as Ciara', 'Olwen Fouéré, as Madeline', 'Oliver Finnegan, as Daniel', 'Alistair Brammer, as John', 'John Lynch, as Kilmartin', ""Siobhan Hewlett, as Mina's Mother"", 'Hannah Dargan, as Young Mina', 'Emily Dargan, as Young Lucy']"
